,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
CROATIA,HRV,-0.82,0.31,2.00,23.90,5.34,43.20,-0.72,0.19,5.00,28.29,12.62,39.81,-0.21,0.21,6.00,52.68,32.52,63.59,0.25,0.16,7.00,63.41,57.28,70.39,0.16,0.15,8.00,59.51,54.85,69.42,0.20,0.15,10.00,60.98,56.31,70.39,0.14,0.14,10.00,58.54,53.88,66.50,0.09,0.14,12.00,60.49,53.88,66.99,0.08,0.14,12.00,59.71,54.59,67.63,-0.04,0.13,11.00,56.80,49.28,62.80,-0.10,0.14,11.00,57.42,47.14,62.38,-0.03,0.13,11.00,57.62,50.24,63.51,0.01,0.13,12.00,57.82,54.72,64.15,-0.04,0.12,13.00,58.29,51.89,63.21,0.11,0.13,13.00,61.61,56.60,65.57,0.19,0.13,13.00,62.02,56.94,66.99,0.20,0.12,13.00,63.46,58.85,68.42
CUBA,CUB,0.46,0.30,3.00,70.73,57.77,82.52,0.55,0.22,3.00,69.76,64.08,81.07,0.51,0.30,3.00,71.22,59.71,83.98,0.51,0.20,3.00,70.73,62.14,82.04,0.28,0.23,4.00,63.90,54.85,75.24,0.25,0.23,5.00,62.93,53.88,75.24,0.31,0.21,5.00,63.90,55.34,72.33,0.26,0.20,6.00,64.39,57.28,72.33,0.33,0.20,6.00,68.45,57.49,73.91,0.28,0.19,5.00,65.53,57.00,73.91,0.35,0.22,5.00,68.42,59.05,73.33,0.41,0.21,5.00,69.52,61.14,74.41,0.35,0.20,5.00,67.77,58.49,72.64,0.31,0.19,6.00,66.35,58.96,72.17,0.13,0.19,6.00,62.56,53.30,69.34,0.07,0.19,6.00,58.65,50.72,66.99,0.07,0.18,6.00,60.58,51.20,66.99
CYPRUS,CYP,1.80,0.30,3.00,93.17,86.41,98.54,1.30,0.22,3.00,85.37,83.01,92.72,1.23,0.30,3.00,85.85,77.18,92.72,1.28,0.20,3.00,85.85,82.52,91.75,1.21,0.25,3.00,85.37,77.18,91.75,0.89,0.23,4.00,80.49,71.36,87.38,0.89,0.21,4.00,80.00,69.90,84.47,1.09,0.23,5.00,83.90,75.24,91.75,1.08,0.24,5.00,83.50,73.91,91.79,1.24,0.23,5.00,85.44,78.74,91.79,0.93,0.21,6.00,79.43,71.90,86.19,1.00,0.21,6.00,80.95,72.99,88.15,0.89,0.20,6.00,78.67,71.70,83.96,1.25,0.19,7.00,85.31,79.25,91.04,1.25,0.19,7.00,84.83,79.72,91.04,1.07,0.18,7.00,82.21,75.60,89.95,0.98,0.18,7.00,80.29,75.12,88.04
CZECH REPUBLIC,CZE,0.65,0.23,5.00,76.59,65.05,83.50,0.55,0.17,7.00,70.24,65.05,80.10,0.08,0.18,8.00,62.44,51.46,66.99,0.36,0.15,8.00,67.32,61.65,74.27,0.44,0.14,9.00,70.73,61.65,75.24,0.38,0.14,10.00,68.78,60.19,73.79,0.46,0.14,9.00,68.29,61.65,72.33,0.31,0.14,11.00,66.34,60.19,71.36,0.23,0.13,12.00,62.62,57.97,70.05,0.27,0.13,12.00,65.05,60.39,71.01,0.33,0.14,11.00,67.46,60.48,71.90,0.26,0.13,12.00,65.24,59.24,71.56,0.30,0.13,13.00,66.35,60.85,71.70,0.23,0.12,13.00,63.98,59.43,69.34,0.19,0.13,12.00,63.51,58.02,68.87,0.32,0.13,12.00,65.38,59.81,70.33,0.39,0.13,12.00,67.31,62.68,70.81
DENMARK,DNK,2.37,0.23,5.00,100.00,94.66,100.00,2.36,0.19,5.00,99.51,94.17,100.00,2.52,0.23,5.00,99.51,94.66,100.00,2.40,0.18,5.00,99.51,94.66,100.00,2.45,0.20,5.00,99.51,97.09,100.00,2.51,0.18,6.00,99.51,97.57,100.00,2.31,0.18,6.00,99.02,97.09,100.00,2.55,0.19,7.00,99.51,98.06,100.00,2.53,0.19,7.00,100.00,96.62,100.00,2.47,0.19,7.00,100.00,96.14,100.00,2.52,0.18,8.00,100.00,97.62,100.00,2.41,0.19,8.00,100.00,97.16,100.00,2.45,0.18,8.00,100.00,96.70,100.00,2.40,0.16,9.00,100.00,96.70,100.00,2.43,0.16,9.00,100.00,97.64,100.00,2.26,0.15,9.00,99.52,95.69,100.00,2.23,0.15,9.00,98.08,95.69,100.00
DJIBOUTI,DJI,-0.47,0.56,1.00,36.10,5.34,67.48,-0.73,0.34,3.00,27.32,3.88,53.88,-0.95,0.33,3.00,14.63,2.91,40.78,-0.71,0.34,3.00,32.68,2.91,53.88,-0.84,0.30,3.00,20.49,4.37,45.63,-0.51,0.26,4.00,37.07,16.02,54.85,-0.68,0.26,4.00,30.24,12.62,49.51,-0.60,0.27,4.00,33.66,13.11,53.88,-0.45,0.27,4.00,39.81,20.77,57.49,-0.18,0.27,5.00,52.91,31.88,64.73,-0.29,0.23,6.00,49.76,28.10,60.48,-0.32,0.23,6.00,48.10,28.44,59.72,-0.31,0.23,6.00,46.92,26.42,60.38,-0.34,0.24,6.00,46.92,25.47,59.91,-0.42,0.24,7.00,41.71,22.64,58.02,-0.49,0.24,7.00,37.98,19.14,55.98,-0.58,0.23,6.00,33.65,15.79,52.15
DOMINICA,DMA,0.90,0.56,1.00,82.44,60.68,93.20,0.40,0.38,2.00,66.83,48.06,83.50,0.27,0.35,2.00,65.37,47.57,81.07,0.49,0.37,2.00,70.24,53.88,83.01,0.49,0.31,2.00,72.20,56.80,83.01,0.61,0.29,3.00,74.63,59.22,83.50,0.70,0.27,3.00,73.17,62.14,83.50,0.62,0.31,3.00,73.17,60.68,84.95,0.64,0.31,3.00,73.79,60.39,84.54,0.69,0.32,2.00,74.27,62.80,84.54,0.74,0.34,2.00,73.68,64.29,86.19,0.74,0.34,2.00,74.29,63.03,86.26,0.74,0.33,2.00,73.93,64.15,86.32,0.70,0.33,2.00,73.46,63.21,84.91,0.70,0.33,2.00,73.46,62.74,84.91,0.66,0.35,2.00,72.60,58.85,84.21,0.62,0.32,2.00,71.63,60.77,82.78
DOMINICAN REPUBLIC,DOM,-0.10,0.30,3.00,54.63,29.13,67.48,-0.71,0.21,4.00,28.78,10.68,41.26,-0.62,0.25,4.00,31.22,9.71,52.91,-0.36,0.18,5.00,43.41,33.50,56.31,-0.63,0.19,6.00,32.68,15.05,46.60,-0.45,0.18,9.00,41.46,24.76,51.94,-0.59,0.18,10.00,35.12,18.93,47.57,-0.64,0.16,12.00,30.73,18.45,42.72,-0.69,0.16,12.00,26.70,15.94,40.58,-0.67,0.16,12.00,29.13,17.87,42.03,-0.73,0.17,12.00,25.84,16.19,39.52,-0.81,0.17,11.00,21.90,12.80,36.02,-0.76,0.16,12.00,23.22,16.51,37.74,-0.80,0.15,12.00,23.22,13.68,36.32,-0.83,0.15,12.00,22.27,12.26,33.49,-0.79,0.15,11.00,23.08,13.88,36.36,-0.77,0.14,12.00,22.12,13.88,36.36
ECUADOR,ECU,-0.91,0.30,3.00,20.98,3.40,39.81,-1.02,0.21,4.00,12.68,2.43,30.58,-1.01,0.23,5.00,10.24,3.40,31.07,-0.98,0.18,6.00,15.61,2.43,33.01,-0.80,0.19,7.00,23.41,9.22,40.29,-0.67,0.17,11.00,27.80,16.02,44.66,-0.75,0.17,11.00,25.85,14.56,39.32,-0.83,0.18,12.00,21.46,10.19,35.92,-0.89,0.19,13.00,20.39,8.70,33.33,-0.79,0.18,12.00,22.82,10.14,38.65,-0.89,0.17,13.00,20.10,8.10,30.95,-0.86,0.17,13.00,20.00,10.43,32.70,-0.79,0.17,12.00,22.27,13.68,36.79,-0.66,0.15,13.00,27.96,19.34,41.04,-0.61,0.15,13.00,31.75,20.75,44.81,-0.82,0.16,11.00,21.15,12.92,35.41,-0.65,0.14,12.00,29.33,17.22,42.58
"EGYPT, ARAB REP.",EGY,-0.07,0.27,4.00,56.59,31.55,67.48,-0.25,0.18,6.00,46.34,35.44,61.65,-0.39,0.22,6.00,43.90,25.73,58.25,-0.29,0.18,6.00,46.83,34.47,58.25,-0.47,0.19,7.00,41.46,25.24,53.40,-0.54,0.18,9.00,35.12,20.39,49.51,-0.52,0.18,9.00,38.05,21.84,49.51,-0.66,0.16,11.00,28.78,16.99,41.26,-0.68,0.16,11.00,28.16,16.91,40.58,-0.71,0.16,11.00,27.67,16.43,41.06,-0.42,0.17,12.00,41.15,26.67,54.76,-0.55,0.17,12.00,34.29,21.80,49.76,-0.66,0.16,13.00,27.96,19.34,42.92,-0.59,0.15,15.00,33.18,22.17,46.70,-0.60,0.14,15.00,32.70,20.75,44.81,-0.59,0.14,14.00,32.21,21.05,45.45,-0.56,0.14,14.00,35.10,20.57,47.37
EL SALVADOR,SLV,-0.90,0.27,4.00,21.46,5.34,36.89,-0.81,0.21,4.00,24.88,7.28,38.83,-0.50,0.23,5.00,37.07,19.90,56.31,-0.76,0.18,6.00,29.76,10.68,38.83,-0.37,0.19,7.00,44.39,29.13,56.31,-0.39,0.18,9.00,44.39,26.70,54.37,-0.41,0.18,9.00,42.44,28.64,52.43,-0.20,0.19,10.00,52.68,36.89,60.68,-0.30,0.19,10.00,49.03,32.37,57.97,-0.29,0.19,10.00,48.54,32.37,59.42,-0.19,0.18,12.00,53.11,37.62,60.48,-0.23,0.18,12.00,51.43,35.07,61.14,-0.21,0.17,13.00,53.55,38.21,60.38,-0.39,0.15,14.00,44.08,28.77,55.19,-0.35,0.15,14.00,46.92,33.02,56.13,-0.39,0.15,13.00,43.27,30.62,53.11,-0.43,0.14,13.00,40.87,28.71,52.15
EQUATORIAL GUINEA,GNQ,-1.25,0.31,2.00,6.34,0.97,27.18,-1.21,0.20,4.00,4.88,2.43,20.87,-1.53,0.25,4.00,1.95,0.00,6.80,-1.34,0.20,4.00,0.98,0.49,13.59,-1.55,0.23,4.00,1.46,0.00,8.74,-1.71,0.22,5.00,0.49,0.00,5.34,-1.68,0.22,5.00,0.00,0.00,6.80,-1.64,0.23,5.00,0.98,0.00,7.28,-1.55,0.24,4.00,2.43,0.00,8.70,-1.51,0.24,4.00,2.43,0.48,9.66,-1.50,0.24,4.00,1.44,0.00,10.95,-1.49,0.23,5.00,1.43,0.00,11.85,-1.49,0.23,5.00,1.90,0.00,12.26,-1.54,0.24,5.00,0.47,0.00,11.32,-1.60,0.24,6.00,0.00,0.00,9.43,-1.84,0.26,5.00,0.00,0.00,4.31,-1.83,0.24,5.00,0.00,0.00,3.35
ERITREA,ERI,0.44,0.56,1.00,70.24,36.41,86.89,0.85,0.34,3.00,80.98,65.05,91.26,0.61,0.33,3.00,73.66,62.62,84.95,0.06,0.34,3.00,60.49,36.89,74.76,-0.07,0.26,4.00,55.61,40.29,67.48,-0.15,0.23,6.00,52.20,35.92,61.65,-0.20,0.23,6.00,50.73,35.44,60.19,-0.31,0.21,7.00,45.37,29.13,59.22,-0.39,0.21,7.00,40.78,24.64,57.49,-0.32,0.21,7.00,46.60,30.43,59.42,-0.43,0.21,7.00,40.19,23.81,57.62,-0.47,0.21,7.00,38.10,21.80,54.98,-0.57,0.20,7.00,33.65,19.34,52.83,-0.70,0.22,7.00,27.01,14.15,46.70,-0.84,0.22,8.00,20.85,10.38,38.21,-0.86,0.23,6.00,20.19,8.13,38.28,-1.34,0.21,7.00,5.29,1.44,13.88
ESTONIA,EST,-0.06,0.31,2.00,57.56,30.58,70.39,0.57,0.19,5.00,71.22,65.05,81.07,0.65,0.20,7.00,74.63,65.53,83.50,0.64,0.15,8.00,75.61,68.93,82.52,0.79,0.14,9.00,77.07,72.82,83.01,0.92,0.14,10.00,80.98,76.21,84.95,0.97,0.13,10.00,80.49,73.79,83.98,0.96,0.14,11.00,80.00,75.24,84.95,0.92,0.13,11.00,79.61,73.91,84.54,0.87,0.13,11.00,79.13,73.91,82.13,0.91,0.14,10.00,78.47,73.33,84.29,0.86,0.13,10.00,79.05,72.04,82.94,0.93,0.13,11.00,79.62,73.11,83.96,0.99,0.12,12.00,80.09,74.06,83.49,1.12,0.13,12.00,81.99,78.77,88.21,1.27,0.13,12.00,87.50,81.82,90.91,1.25,0.13,12.00,87.02,82.30,89.95
ETHIOPIA,ETH,-1.15,0.30,3.00,8.78,2.43,27.67,-0.69,0.20,5.00,29.76,12.62,41.26,-0.49,0.24,5.00,38.05,19.42,57.28,-0.73,0.19,5.00,31.71,12.14,41.26,-0.68,0.19,7.00,29.76,13.11,45.15,-0.72,0.18,9.00,25.85,14.56,42.23,-0.77,0.17,10.00,24.39,14.08,38.83,-0.64,0.15,13.00,29.27,18.45,41.75,-0.62,0.16,13.00,31.55,20.77,43.00,-0.66,0.16,12.00,29.61,17.87,42.03,-0.72,0.17,12.00,26.32,16.67,39.52,-0.70,0.17,13.00,27.62,16.59,41.71,-0.68,0.16,14.00,27.49,18.87,40.57,-0.61,0.15,13.00,31.75,21.23,45.28,-0.51,0.15,14.00,37.91,24.06,50.47,-0.43,0.14,13.00,40.87,29.19,51.67,-0.41,0.14,13.00,42.79,30.14,52.63
FIJI,FJI,0.44,0.56,1.00,70.24,36.41,86.89,0.14,0.38,2.00,63.90,38.35,79.13,0.04,0.35,2.00,60.00,32.52,73.79,0.03,0.37,2.00,59.02,34.47,75.24,-0.29,0.31,2.00,48.29,24.76,61.65,-0.08,0.31,2.00,55.61,32.52,70.39,-0.61,0.28,2.00,33.66,14.08,51.94,-0.27,0.30,3.00,48.29,24.76,62.62,-0.37,0.31,3.00,42.23,20.77,60.39,-0.39,0.31,3.00,42.72,18.84,61.35,-0.74,0.31,3.00,24.88,6.19,51.43,-0.85,0.30,4.00,20.95,2.84,45.02,-0.45,0.29,4.00,39.81,19.34,58.49,-0.40,0.29,4.00,42.65,19.81,60.85,-0.38,0.30,4.00,44.08,20.75,61.79,-0.03,0.32,3.00,56.73,35.41,69.86,-0.06,0.30,3.00,56.73,34.93,68.42
FINLAND,FIN,2.36,0.23,5.00,99.51,94.17,100.00,2.37,0.19,5.00,100.00,94.17,100.00,2.59,0.23,5.00,100.00,95.15,100.00,2.46,0.18,5.00,100.00,95.63,100.00,2.48,0.20,5.00,100.00,97.09,100.00,2.53,0.18,6.00,100.00,97.57,100.00,2.35,0.18,6.00,100.00,97.57,100.00,2.56,0.19,7.00,100.00,98.06,100.00,2.48,0.19,7.00,99.51,96.14,100.00,2.41,0.19,7.00,99.03,96.14,100.00,2.30,0.18,8.00,99.04,95.24,100.00,2.18,0.19,8.00,98.10,93.84,100.00,2.22,0.18,8.00,98.58,94.34,100.00,2.23,0.16,9.00,98.10,95.28,100.00,2.21,0.16,9.00,98.10,95.75,100.00,2.18,0.15,9.00,98.08,95.22,100.00,2.28,0.15,9.00,99.52,95.69,100.00
FRANCE,FRA,1.26,0.23,5.00,85.85,79.61,91.75,1.40,0.19,5.00,91.22,83.98,92.72,1.36,0.23,5.00,87.32,83.50,92.72,1.24,0.18,5.00,84.39,82.52,91.26,1.34,0.20,5.00,89.76,83.01,91.75,1.34,0.18,6.00,89.76,83.50,91.75,1.35,0.18,6.00,90.73,82.52,92.23,1.46,0.16,8.00,91.71,84.95,92.23,1.44,0.17,9.00,91.75,85.02,92.27,1.38,0.17,9.00,90.78,82.61,91.79,1.42,0.18,9.00,90.43,84.29,91.90,1.44,0.19,8.00,89.05,82.94,93.36,1.52,0.17,9.00,90.05,85.85,93.40,1.43,0.16,9.00,90.05,83.02,92.92,1.31,0.16,9.00,88.15,81.13,91.04,1.27,0.15,8.00,87.98,79.90,90.91,1.28,0.15,8.00,87.98,82.30,90.43
FRENCH GUIANA,GUF,0.90,0.56,1.00,82.44,60.68,93.20,0.92,0.51,1.00,82.44,61.65,92.72,0.91,0.50,1.00,82.93,62.62,92.72,0.85,0.47,1.00,81.95,61.17,91.75,0.83,0.38,1.00,79.51,61.17,91.26,0.78,0.39,1.00,77.07,59.71,91.75,0.80,0.32,1.00,77.56,63.11,89.32,0.80,0.42,1.00,77.56,60.68,91.75,0.82,0.41,1.00,78.16,60.39,91.79,0.84,0.40,1.00,78.16,62.80,91.79,1.11,0.29,2.00,84.21,72.86,90.95,1.13,0.29,2.00,84.29,72.99,91.94,1.12,0.28,2.00,83.89,72.64,91.98,1.12,0.30,2.00,82.94,72.17,91.51,1.14,0.30,2.00,82.94,72.17,91.51,1.03,0.31,2.00,81.25,69.86,90.91,1.03,0.29,2.00,82.21,69.86,90.43
GABON,GAB,-1.02,0.30,3.00,16.10,2.91,31.07,-0.87,0.20,5.00,20.98,5.83,35.44,-0.50,0.24,5.00,36.10,18.45,57.28,-0.42,0.19,5.00,40.49,31.55,54.37,-0.47,0.22,5.00,40.49,18.93,54.37,-0.76,0.21,6.00,23.41,11.17,43.20,-0.54,0.21,6.00,37.07,18.93,50.49,-0.91,0.18,8.00,17.56,8.74,32.04,-0.99,0.18,8.00,14.56,6.76,26.09,-1.02,0.18,8.00,14.08,4.35,27.05,-0.94,0.20,7.00,17.70,5.71,30.48,-0.78,0.20,7.00,22.86,12.32,38.39,-0.79,0.19,7.00,22.75,12.26,39.15,-0.61,0.18,9.00,31.28,19.34,47.64,-0.61,0.18,10.00,32.23,19.81,49.53,-0.64,0.17,9.00,30.29,17.70,46.41,-0.67,0.16,10.00,28.85,16.27,44.02
"GAMBIA, THE",GMB,-0.44,0.47,2.00,39.02,6.80,66.02,-0.53,0.33,4.00,36.10,10.19,61.17,-0.41,0.31,4.00,40.98,16.50,62.62,-0.44,0.31,4.00,40.00,19.90,61.17,-0.33,0.25,5.00,46.34,27.18,57.77,-0.59,0.22,6.00,31.71,16.02,49.51,-0.71,0.21,6.00,28.78,14.08,47.57,-0.74,0.19,7.00,25.85,11.65,39.32,-0.75,0.20,7.00,23.79,11.59,40.58,-0.75,0.20,7.00,25.24,12.08,41.55,-0.56,0.20,7.00,31.10,19.52,51.43,-0.56,0.20,7.00,33.33,19.43,50.24,-0.50,0.19,7.00,36.97,21.23,55.66,-0.63,0.19,7.00,29.86,18.87,47.64,-0.69,0.19,8.00,26.54,16.51,43.87,-0.68,0.18,8.00,28.85,15.31,44.50,-0.77,0.18,8.00,21.63,11.96,36.84
GEORGIA,GEO,-1.39,0.56,1.00,4.88,0.00,33.50,-0.78,0.29,3.00,25.85,3.88,42.72,-0.88,0.26,4.00,20.00,4.85,40.29,-1.14,0.24,4.00,7.32,0.49,31.07,-0.65,0.18,5.00,32.20,15.53,45.63,-0.61,0.16,8.00,28.78,18.93,47.09,-0.36,0.16,8.00,46.83,33.50,53.40,-0.03,0.16,11.00,58.05,46.60,63.11,-0.24,0.16,12.00,50.97,38.65,57.97,-0.22,0.14,12.00,50.00,40.58,59.42,-0.22,0.15,12.00,51.67,39.05,59.52,-0.12,0.14,12.00,55.71,45.97,61.61,-0.02,0.14,12.00,56.87,51.89,64.15,0.26,0.13,14.00,64.45,59.43,70.75,0.36,0.14,13.00,66.35,62.74,71.23,0.74,0.15,13.00,75.48,69.86,79.90,0.64,0.14,13.00,72.60,68.42,77.51
GERMANY,DEU,1.99,0.23,5.00,94.63,91.75,99.51,2.16,0.19,5.00,95.12,93.20,100.00,1.90,0.23,5.00,93.17,91.75,96.12,2.01,0.18,5.00,93.66,91.75,98.06,1.94,0.20,5.00,93.66,91.75,98.06,1.86,0.18,6.00,93.17,91.75,97.09,1.86,0.18,6.00,93.66,91.75,97.57,1.79,0.16,8.00,92.68,91.75,95.63,1.70,0.17,8.00,92.23,91.30,94.20,1.73,0.17,8.00,92.72,91.79,95.17,1.72,0.18,7.00,92.82,90.48,95.24,1.74,0.19,8.00,93.33,88.63,94.79,1.71,0.17,10.00,92.89,89.15,94.81,1.79,0.16,10.00,93.84,90.57,95.75,1.79,0.16,9.00,94.31,90.57,95.75,1.83,0.15,8.00,94.71,91.39,95.69,1.82,0.15,8.00,93.27,90.43,95.69
GHANA,GHA,-0.22,0.30,3.00,49.27,27.67,65.05,-0.17,0.20,5.00,53.66,38.35,64.08,-0.07,0.24,5.00,58.05,39.81,65.53,-0.29,0.19,6.00,47.32,34.47,58.74,-0.24,0.19,8.00,49.27,36.89,57.77,-0.22,0.17,10.00,49.76,37.38,57.28,-0.36,0.17,10.00,45.85,31.07,54.85,0.00,0.16,12.00,58.54,48.06,64.56,0.07,0.17,12.00,59.22,52.66,69.08,-0.04,0.15,13.00,57.28,48.31,62.80,0.03,0.16,14.00,59.81,51.43,66.67,0.06,0.16,14.00,60.48,53.08,66.82,0.04,0.15,15.00,59.24,54.72,66.04,-0.09,0.15,15.00,56.40,47.64,62.74,-0.07,0.14,15.00,56.87,49.53,63.21,-0.22,0.14,14.00,50.96,39.71,57.42,-0.18,0.14,14.00,53.37,43.54,59.33
GREECE,GRC,0.34,0.23,5.00,65.85,57.77,76.70,1.06,0.19,5.00,83.90,78.64,87.86,0.76,0.23,5.00,78.05,67.48,84.47,0.44,0.18,5.00,69.27,62.14,77.67,0.42,0.20,5.00,69.27,58.25,75.73,0.49,0.18,6.00,71.22,60.68,77.18,0.37,0.18,6.00,66.34,57.77,72.33,0.35,0.16,8.00,68.29,60.19,73.30,0.25,0.17,8.00,65.53,57.49,72.95,0.10,0.17,8.00,61.17,53.62,68.12,0.01,0.18,8.00,59.33,50.00,66.67,-0.16,0.18,9.00,54.29,38.39,63.03,-0.18,0.18,9.00,55.45,38.21,61.79,-0.25,0.16,10.00,51.66,38.21,58.96,-0.10,0.15,10.00,56.40,46.70,62.74,-0.20,0.15,9.00,51.44,39.71,58.37,-0.13,0.15,9.00,53.85,44.50,61.24
GREENLAND,GRL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.17,0.37,1.00,84.69,71.90,93.81,1.20,0.36,1.00,84.76,72.04,93.36,1.22,0.37,1.00,84.83,72.17,93.87,1.22,0.40,1.00,84.83,70.75,94.81,1.24,0.39,1.00,83.89,71.70,94.81,1.20,0.41,1.00,83.65,69.86,95.22,1.19,0.38,1.00,83.65,70.33,92.82
GRENADA,GRD,0.90,0.56,1.00,82.44,60.68,93.20,0.59,0.38,2.00,72.68,57.28,84.47,0.48,0.35,2.00,70.73,57.28,84.47,0.66,0.37,2.00,76.59,59.71,85.44,0.65,0.31,2.00,75.12,59.22,84.47,0.61,0.29,3.00,74.63,59.22,83.50,0.70,0.27,3.00,73.17,62.14,83.50,0.64,0.31,3.00,74.15,60.68,84.95,0.38,0.31,3.00,69.42,54.59,78.26,0.32,0.30,3.00,66.50,54.59,75.36,0.36,0.31,3.00,69.38,54.76,78.10,0.44,0.31,3.00,70.95,56.40,80.09,0.44,0.30,3.00,69.67,56.13,79.25,0.44,0.30,3.00,69.19,57.55,79.25,0.44,0.31,3.00,69.19,56.60,79.72,0.27,0.35,2.00,63.94,47.85,77.99,0.31,0.30,3.00,66.83,52.63,77.03
GUAM,GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.37,0.39,1.00,67.80,48.06,83.01,0.80,0.32,1.00,77.56,63.11,89.32,0.80,0.42,1.00,77.56,60.68,91.75,0.82,0.41,1.00,78.16,60.39,91.79,0.84,0.40,1.00,78.16,62.80,91.79,0.86,0.42,1.00,77.99,64.29,90.95,0.85,0.43,1.00,77.62,63.03,90.52,0.83,0.40,1.00,76.30,63.21,89.62,0.83,0.42,1.00,77.25,62.74,90.57,0.83,0.43,1.00,77.73,62.26,90.57,1.25,0.42,1.00,87.02,70.33,95.22,1.25,0.42,1.00,86.54,70.33,95.22
GUATEMALA,GTM,-0.82,0.27,4.00,22.93,5.83,40.29,-0.85,0.21,4.00,23.90,5.83,37.86,-0.68,0.23,5.00,28.29,9.22,47.57,-0.50,0.18,6.00,37.56,28.16,51.46,-0.66,0.19,8.00,31.22,14.08,45.63,-0.54,0.17,11.00,35.61,21.36,49.51,-0.63,0.17,11.00,32.68,18.45,47.57,-0.76,0.16,14.00,24.88,14.08,37.86,-0.70,0.16,14.00,25.73,15.46,40.10,-0.61,0.16,13.00,32.04,18.84,44.44,-0.48,0.18,12.00,38.76,24.29,53.81,-0.48,0.17,13.00,37.62,24.64,53.08,-0.47,0.16,14.00,38.86,24.53,54.72,-0.62,0.15,14.00,30.81,20.75,45.28,-0.58,0.15,13.00,33.65,22.64,49.06,-0.70,0.15,12.00,28.37,16.27,39.23,-0.71,0.14,12.00,26.44,15.79,37.80
GUINEA,GIN,-0.46,0.47,2.00,37.07,6.80,65.05,-0.73,0.33,4.00,27.80,3.88,52.91,-0.75,0.31,4.00,25.85,5.34,51.46,-0.52,0.31,4.00,35.61,12.62,57.28,-0.75,0.25,5.00,26.83,8.74,45.63,-0.84,0.22,6.00,19.51,9.71,39.81,-1.00,0.22,6.00,15.12,6.31,31.07,-1.07,0.20,7.00,11.22,4.37,26.21,-1.26,0.20,7.00,6.80,1.45,17.39,-1.16,0.20,8.00,7.77,3.38,20.77,-1.05,0.20,8.00,13.88,3.33,26.67,-1.19,0.19,8.00,9.05,1.42,19.43,-1.11,0.18,9.00,11.85,2.83,21.23,-1.06,0.16,11.00,13.74,4.72,24.06,-1.04,0.16,12.00,14.22,5.19,23.58,-1.07,0.16,12.00,12.98,6.70,22.01,-0.97,0.15,13.00,15.38,10.05,25.36
